PLAYER_NAME,TEAM_ABBREVIATION,POSITION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Rayan Rupert,POR,G-F,20,"6'6""",195,1,58,16,24,25
Reece Beekman,BKN,G,23,"6'3""",190,R,35,33,28,63
Reed Sheppard,HOU,G,20,"6'2""",185,R,84,35,11,75
Richaun Holmes,WAS,F,31,"6'9""",235,9,90,9,53,42
Ricky Council IV,PHI,G,23,"6'6""",207,1,177,32,117,97
Riley Minix,SAS,F,24,"6'7""",230,R,0,0,0,0
Rob Dillingham,MIN,G,20,"6'3""",175,R,93,20,28,98
Robert Williams III,POR,C-F,27,"6'9""",249,6,50,13,13,21
Ron Harper Jr.,DET,G-F,25,"6'4""",233,2,1,0,2,2
Ronald Holland II,DET,F,19,"6'8""",206,R,197,49,112,82
Royce O'Neale,PHX,F,31,"6'6""",226,7,241,67,31,163
Rudy Gobert,MIN,C,32,"7'1""",258,11,341,56,260,127
Rui Hachimura,LAL,F,27,"6'8""",230,5,293,45,85,83
Russell Westbrook,DEN,G,36,"6'4""",200,16,373,106,172,457
Ryan Dunn,PHX,F,22,"6'8""",216,R,205,44,28,57
Ryan Rollins,MIL,G,22,"6'3""",180,2,132,42,47,104
Sam Hauser,BOS,F,27,"6'7""",217,3,214,41,29,64
Sam Merrill,CLE,G,28,"6'4""",205,4,172,53,55,108
Sandro Mamukelashvili,SAS,F-C,25,"6'9""",240,3,141,21,43,48
Santi Aldama,MEM,F-C,24,"7'0""",215,3,313,52,83,188
Scoot Henderson,POR,G,21,"6'3""",206,1,287,68,182,335
Scottie Barnes,TOR,F-G,23,"6'7""",237,3,474,93,246,378
Scotty Pippen Jr.,MEM,G,24,"6'1""",170,2,285,103,186,347
Seth Curry,CHA,G,34,"6'1""",185,10,164,27,52,60
Shaedon Sharpe,POR,G,21,"6'5""",208,2,499,62,189,198
Shai Gilgeous-Alexander,OKC,G,26,"6'6""",195,6,860,131,467,486
Shake Milton,LAL,G,28,"6'5""",205,6,115,25,64,102
Sidy Cissoko,POR,G,21,"6'6""",200,1,13,2,7,15
Simone Fontecchio,DET,F,29,"6'7""",209,2,150,31,69,65
Spencer Dinwiddie,DAL,G,32,"6'5""",215,10,284,70,197,349
Spencer Jones,DEN,F,23,"6'7""",225,R,11,5,2,5
Stanley Umude,MIL,G,26,"6'6""",210,2,5,3,2,4
Stephen Curry,GSW,G,37,"6'2""",185,15,564,80,247,421
Stephon Castle,SAS,G,20,"6'6""",215,R,423,74,262,332
Steven Adams,HOU,C,31,"6'11""",265,10,91,22,103,66
Svi Mykhailiuk,UTA,G-F,27,"6'7""",205,6,118,19,30,76
T.J. McConnell,IND,G,33,"6'1""",190,9,324,83,95,351
