PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Ricky Council IV,PHI,23,"6'6""",207,1,173,32,112,93
Riley Minix,SAS,24,"6'7""",230,R,0,0,0,0
Rob Dillingham,MIN,20,"6'3""",175,R,93,20,28,97
Robert Williams III,POR,27,"6'9""",249,6,50,13,13,21
Ronald Holland II,DET,19,"6'8""",206,R,189,48,107,80
Royce O'Neale,PHX,31,"6'6""",226,7,238,66,30,160
Rudy Gobert,MIN,32,"7'1""",258,11,315,55,240,122
Rui Hachimura,LAL,27,"6'8""",230,5,287,45,82,82
Russell Westbrook,DEN,36,"6'4""",200,16,364,104,164,447
Ryan Dunn,PHX,22,"6'8""",216,R,190,42,27,53
Ryan Rollins,MIL,22,"6'3""",180,2,124,40,46,98
Sam Hauser,BOS,27,"6'7""",217,3,203,40,26,62
Sam Merrill,CLE,28,"6'4""",205,4,167,52,53,104
Sandro Mamukelashvili,SAS,25,"6'9""",240,3,127,19,39,42
Santi Aldama,MEM,24,"7'0""",215,3,308,50,79,179
Scoot Henderson,POR,21,"6'3""",206,1,287,68,182,335
Scottie Barnes,TOR,23,"6'7""",237,3,447,92,238,367
Scotty Pippen Jr.,MEM,24,"6'1""",170,2,276,102,173,336
Seth Curry,CHA,34,"6'1""",185,10,158,26,52,60
Shaedon Sharpe,POR,21,"6'5""",208,2,499,62,189,198
Shai Gilgeous-Alexander,OKC,26,"6'6""",195,6,860,131,467,486
Shake Milton,LAL,28,"6'5""",205,6,109,23,58,99
Sidy Cissoko,POR,21,"6'6""",200,1,9,1,3,6
Simone Fontecchio,DET,29,"6'7""",209,2,144,31,68,63
Skal Labissiere,SAC,29,,,,2,0,0,1
Spencer Dinwiddie,DAL,32,"6'5""",215,10,283,69,195,342
Spencer Jones,DEN,23,"6'7""",225,R,11,5,2,5
Stanley Umude,MIL,25,"6'6""",210,2,4,3,2,3
Stephen Curry,GSW,37,"6'2""",185,15,548,78,241,410
Stephon Castle,SAS,20,"6'6""",215,R,412,73,255,316
Steven Adams,HOU,31,"6'11""",265,10,89,22,102,65
